epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,29477,0.81295,0.65215,0.013,0.8072,0.75254,0.72396,0.63726,0.83005,1.48379,0.01421,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,29984.7,0.81459,0.64344,0.01296,0.80913,0.75481,0.72436,0.63797,0.83102,1.47909,0.01414,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,30521.3,0.81185,0.63701,0.01288,0.78618,0.76503,0.72341,0.63773,0.83055,1.46988,0.01412,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,31033.1,0.81037,0.63182,0.01292,0.79748,0.76174,0.72357,0.6388,0.8296,1.46184,0.01409,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,31555.2,0.81109,0.62941,0.0129,0.79469,0.76181,0.72296,0.63715,0.82426,1.52521,0.01413,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,32113.3,0.7994,0.61807,0.01273,0.80256,0.76073,0.72408,0.63895,0.82548,1.51663,0.0141,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,32645.7,0.79832,0.61547,0.01264,0.78225,0.76778,0.72342,0.63838,0.82619,1.44707,0.01408,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,33125.5,0.79194,0.60761,0.01261,0.79283,0.76609,0.72411,0.63907,0.82403,1.43876,0.01401,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,33604.3,0.78853,0.60584,0.01246,0.79024,0.76838,0.72462,0.63999,0.82831,1.45366,0.01451,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,34360.4,0.78761,0.59891,0.01251,0.7844,0.77421,0.72481,0.64093,0.8273,1.44845,0.01446,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,34858.3,0.78576,0.59388,0.01247,0.78928,0.77138,0.72578,0.64147,0.82674,1.44016,0.01444,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,35351.5,0.77755,0.58812,0.01233,0.78263,0.77415,0.72566,0.6422,0.82831,1.42555,0.01448,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,35856.4,0.77479,0.58599,0.01226,0.79344,0.7693,0.72563,0.64231,0.82687,1.41614,0.01445,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,36390.5,0.77243,0.58137,0.0122,0.76085,0.78771,0.72447,0.64266,0.82652,1.40512,0.01445,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
